location,date,new_cases,population,population_density
Germany,17-07-20,583,83783945,237.016
Germany,18-07-20,529,83783945,237.016
Germany,19-07-20,202,83783945,237.016
Germany,20-07-20,249,83783945,237.016
Germany,21-07-20,522,83783945,237.016
Germany,22-07-20,454,83783945,237.016
Germany,23-07-20,569,83783945,237.016
Germany,24-07-20,815,83783945,237.016
Germany,25-07-20,781,83783945,237.016
Germany,26-07-20,305,83783945,237.016
Germany,27-07-20,340,83783945,237.016
Germany,28-07-20,633,83783945,237.016
Germany,29-07-20,684,83783945,237.016
Germany,30-07-20,902,83783945,237.016
Germany,31-07-20,870,83783945,237.016
Germany,01-08-20,955,83783945,237.016
Germany,02-08-20,240,83783945,237.016
Germany,03-08-20,509,83783945,237.016
Germany,04-08-20,879,83783945,237.016
Germany,05-08-20,741,83783945,237.016
Germany,06-08-20,1045,83783945,237.016
Germany,07-08-20,1147,83783945,237.016
Germany,08-08-20,1122,83783945,237.016
Germany,09-08-20,555,83783945,237.016
Germany,10-08-20,436,83783945,237.016
Germany,11-08-20,966,83783945,237.016
Germany,12-08-20,1226,83783945,237.016
Germany,13-08-20,1445,83783945,237.016
Germany,14-08-20,1449,83783945,237.016
Germany,15-08-20,1415,83783945,237.016
Germany,16-08-20,625,83783945,237.016
Germany,17-08-20,561,83783945,237.016
Germany,18-08-20,1390,83783945,237.016
Germany,19-08-20,1510,83783945,237.016
Germany,20-08-20,1707,83783945,237.016
Germany,21-08-20,1427,83783945,237.016
Germany,22-08-20,2034,83783945,237.016
Germany,23-08-20,782,83783945,237.016
Germany,24-08-20,711,83783945,237.016
Germany,25-08-20,1278,83783945,237.016
Germany,26-08-20,1576,83783945,237.016
Germany,27-08-20,1507,83783945,237.016
Germany,28-08-20,1571,83783945,237.016
Germany,29-08-20,1479,83783945,237.016
Germany,30-08-20,785,83783945,237.016
Germany,31-08-20,610,83783945,237.016
Germany,01-09-20,1218,83783945,237.016
Germany,02-09-20,1256,83783945,237.016
Germany,03-09-20,1311,83783945,237.016
Germany,04-09-20,1453,83783945,237.016
Germany,05-09-20,1378,83783945,237.016
Germany,06-09-20,988,83783945,237.016
Germany,07-09-20,814,83783945,237.016
Germany,08-09-20,1499,83783945,237.016
Germany,09-09-20,1176,83783945,237.016
Germany,10-09-20,1892,83783945,237.016
Germany,11-09-20,1484,83783945,237.016
Germany,12-09-20,1630,83783945,237.016
Germany,13-09-20,948,83783945,237.016
Germany,14-09-20,927,83783945,237.016
Germany,15-09-20,1407,83783945,237.016
Germany,16-09-20,1901,83783945,237.016
Germany,17-09-20,2194,83783945,237.016
Germany,18-09-20,1916,83783945,237.016
Germany,19-09-20,2297,83783945,237.016
Germany,20-09-20,1345,83783945,237.016
Germany,21-09-20,922,83783945,237.016
Germany,22-09-20,1821,83783945,237.016
Germany,23-09-20,1769,83783945,237.016
Germany,24-09-20,2143,83783945,237.016
Germany,25-09-20,2153,83783945,237.016
Germany,26-09-20,2507,83783945,237.016
Germany,27-09-20,1410,83783945,237.016
Germany,28-09-20,1192,83783945,237.016
Germany,29-09-20,2089,83783945,237.016
Germany,30-09-20,1798,83783945,237.016
Germany,01-10-20,2503,83783945,237.016
Germany,02-10-20,2673,83783945,237.016
Germany,03-10-20,2563,83783945,237.016
Germany,04-10-20,2279,83783945,237.016
Germany,05-10-20,1382,83783945,237.016
Germany,06-10-20,2639,83783945,237.016
Germany,07-10-20,2828,83783945,237.016
Germany,08-10-20,4058,83783945,237.016
Germany,09-10-20,4516,83783945,237.016
Germany,10-10-20,4721,83783945,237.016
